biến,nhóm,n,AUC_w,Brier,sens,FPR,PPV,flag
Giới,Male,3573,0.807,0.062,0.758,0.276,0.185,0.313
Giới,Female,3810,0.793,0.088,0.854,0.49,0.188,0.533
Chủng tộc,Other/Multi,809,0.763,0.06,0.689,0.273,0.171,0.304
Chủng tộc,White,3161,0.812,0.079,0.829,0.38,0.198,0.426
Chủng tộc,Black,1503,0.791,0.073,0.779,0.378,0.175,0.415
Chủng tộc,Other Hispanic,850,0.791,0.086,0.892,0.468,0.19,0.514
Chủng tộc,Mexican-Am,1060,0.808,0.074,0.846,0.428,0.177,0.469
Thu nhập,Khá ≥4,1722,0.745,0.032,0.525,0.183,0.093,0.195
Thu nhập,Cận nghèo 1-2,1700,0.762,0.094,0.845,0.499,0.189,0.541
Thu nhập,Nghèo (<1),1435,0.75,0.121,0.901,0.614,0.229,0.662
Thu nhập,Trung bình 2-4,1804,0.818,0.062,0.768,0.285,0.182,0.322
Nhóm tuổi,51-65,1973,0.784,0.089,0.834,0.407,0.217,0.458
Nhóm tuổi,66+,1645,0.808,0.061,0.736,0.309,0.159,0.34
Nhóm tuổi,18-25,1034,0.778,0.082,0.783,0.417,0.177,0.455
Nhóm tuổi,26-35,1067,0.756,0.072,0.747,0.388,0.152,0.419
Nhóm tuổi,36-50,1664,0.863,0.073,0.916,0.413,0.197,0.463
