term,OR,lo,hi,p
Ngủ <6h (vs 7-9h),2.528,2.167,2.949,0.0
Sức khoẻ kém hơn (mỗi +1 mức),2.233,2.083,2.393,0.0
Nữ (vs Nam),1.8,1.617,2.004,0.0
Đang hút thuốc,1.681,1.459,1.937,0.0
Mỗi 10 năm trôi qua,1.632,1.397,1.908,0.0
Ly hôn/goá,1.59,1.406,1.799,0.0
Chưa kết hôn (vs có bạn đời),1.576,1.351,1.838,0.0
Ngủ >9h,1.307,1.131,1.51,0.0
Ngủ 6-7h,1.28,1.089,1.505,0.003
Học vấn <lớp 9,1.195,0.936,1.526,0.153
Học vấn lớp 9-11,1.158,0.927,1.446,0.196
Học CĐ dở dang,1.139,0.943,1.377,0.176
Đã bỏ thuốc,1.136,0.96,1.343,0.137
Ngồi nhiều (mỗi +1 SD),1.13,1.07,1.194,0.0
Tuổi 18-25 (vs 36-50),1.052,0.838,1.32,0.663
Tốt nghiệp PT,1.036,0.856,1.255,0.715
Tuổi 26-35,1.014,0.87,1.182,0.862
Hispanic khác,0.932,0.777,1.117,0.445
Chủng tộc khác,0.852,0.702,1.035,0.107
Tuổi 51-65,0.837,0.714,0.981,0.028
Thu nhập (mỗi +1 SD),0.761,0.706,0.821,0.0
Da đen (vs Trắng),0.691,0.602,0.793,0.0
Mexican-Am,0.584,0.456,0.746,0.0
Tuổi 66+,0.519,0.433,0.623,0.0
